id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,poblacion_total,renta_media_hogar,alquiler_medio_mes,tiene_gran_recinto,total_vut
24478804,Executive room 10 minutes from the Airport,23441165,Andrea,Hortaleza,Canillas,40.4629,-3.63648,Private room,18.0,1,37,2021-03-06,1.02,26,362,209178,61472,896.61,1,28
24478837,Comfort Superior Executiv room 10 min from Airport,23441165,Andrea,Hortaleza,Canillas,40.46312,-3.63828,Private room,20.0,1,73,2021-03-30,2.02,26,361,209178,61472,896.61,1,28
24478877,Executive room 10 minutes from the airport-13U,23441165,Andrea,Hortaleza,Canillas,40.46374,-3.63871,Private room,25.0,1,10,2021-02-25,0.3,26,348,209178,61472,896.61,1,28
24479164,Comfort Executive room 10 minutes from the Airport,23441165,Andrea,Hortaleza,Canillas,40.46328,-3.63834,Hotel room,17.0,1,248,2021-04-11,7.12,26,364,209178,61472,896.61,1,28
24482043,Tu casa Carabanchel,63064613,Jean,Carabanchel,Vista Alegre,40.38688,-3.74538,Private room,18.0,1,20,2019-10-31,0.55,1,0,278090,36350,650.0,0,85
24488517,MODERN AND LUMINOUS WITH PARKING INCLUDED AND POOL,9885245,My Mad Madrid,Chamartín,Ciudad Jardín,40.44928,-3.66905,Entire home/apt,60.0,2,80,2020-10-01,2.2,38,318,148093,79274,951.72,1,109
24488560,DOBO HOMES FACTOR APARTMENT,133056146,Dobo Rooms,Centro,Palacio,40.4145,-3.71144,Entire home/apt,97.0,1,1,2020-12-18,0.25,24,44,141800,44958,825.0,1,218
24492360,Suite,184609586,Catalina,Centro,Embajadores,40.40885,-3.70914,Private room,40.0,3,56,2020-03-01,1.55,1,365,141800,44958,825.0,1,218
24493375,Sofacama en zona comercial,29586466,Mariana,Fuencarral - El Pardo,Pilar,40.4774,-3.71046,Shared room,15.0,3,5,2019-12-09,0.14,2,0,256037,62385,894.61,0,52
24497663,CUARTO PARA 2 MADRID CENTRAL Y PARKING SI QUIERES,179391668,Manuel,Arganzuela,Imperial,40.41277,-3.72046,Private room,51.0,2,17,2019-05-12,0.47,4,0,158550,52857,850.0,0,121
24503938,Acogedor apartamento en el Retiro con WIFI,99018982,Alterhome,Retiro,Jerónimos,40.41387,-3.68967,Entire home/apt,122.0,1,1,2019-05-13,0.04,72,43,118863,64787,950.0,0,40
24505225,Hermoso apartamento luminoso cerca de Moncloa,99018982,Alterhome,Moncloa - Aravaca,Argüelles,40.43167,-3.71945,Entire home/apt,136.0,1,7,2020-04-23,0.26,72,0,126257,71711,900.49,1,24
24505443,"Cool Flat Madrid, 38 sq.m, 4 peop, 1 BR, P.Mayor,",4190343,Ramon,Centro,Embajadores,40.40806,-3.70514,Entire home/apt,67.0,30,57,2020-02-11,1.58,23,165,141800,44958,825.0,1,218
